Rank,Title,Number of Ratings,Year of Release,Runtime,Decade,IMDb Rating,MPAA Rating,Runtime in Minutes
236,Stand by Me,470K,1986,1h 29m,1980s,8.1,R,89
240,Network,182K,1976,2h 1m,1970s,8.1,R,121
245,Into the Wild,684K,2007,2h 28m,2000s,8,R,148
3,The Dark Knight,3.1M,2008,2h 32m,2000s,9.1,PG-13,152
5,12 Angry Men,944K,1957,1h 36m,1950s,9,Approved,96
6,The Lord of the Rings: The Return of the King,2.1M,2003,3h 21m,2000s,9,PG-13,201
9,The Lord of the Rings: The Fellowship of the Ring,2.1M,2001,2h 58m,2000s,8.9,PG-13,178
11,Forrest Gump,2.4M,1994,2h 22m,1990s,8.8,PG-13,142
12,The Lord of the Rings: The Two Towers,1.9M,2002,2h 59m,2000s,8.8,PG-13,179
14,Inception,2.7M,2010,2h 28m,2010s,8.8,PG-13,148
15,Star Wars: Episode V - The Empire Strikes Back,1.5M,1980,2h 4m,1980s,8.7,PG,124
18,Interstellar,2.4M,2014,2h 49m,2010s,8.7,PG-13,169
21,It's a Wonderful Life,533K,1946,2h 10m,1940s,8.6,PG,130
23,Seven Samurai,390K,1954,3h 27m,1950s,8.6,Not Rated,207
27,Life Is Beautiful,788K,1997,1h 56m,1990s,8.6,PG-13,116
29,Star Wars: Episode IV - A New Hope,1.5M,1977,2h 1m,1970s,8.6,PG,121
30,Back to the Future,1.4M,1985,1h 56m,1980s,8.5,PG,116
31,Spirited Away,927K,2001,2h 4m,2000s,8.6,PG,124
36,The Lion King,1.2M,1994,1h 28m,1990s,8.5,G,88
37,Grave of the Fireflies,359K,1988,1h 28m,1980s,8.5,Not Rated,88
40,Harakiri,82K,1962,2h 13m,1960s,8.6,Not Rated,133
41,The Prestige,1.5M,2006,2h 10m,2000s,8.5,PG-13,130
44,Spider-Man: Across the Spider-Verse,475K,2023,2h 20m,2020s,8.5,PG,140
45,Casablanca,638K,1942,1h 42m,1940s,8.5,PG,102
46,Cinema Paradiso,306K,1988,2h 54m,1980s,8.5,PG,174
50,Modern Times,276K,1936,1h 27m,1930s,8.5,G,87
51,Rear Window,553K,1954,1h 52m,1950s,8.5,PG,112
53,Once Upon a Time in the West,373K,1968,2h 46m,1960s,8.5,PG-13,166
54,City Lights,209K,1931,1h 27m,1930s,8.5,G,87
56,WALL·E,1.3M,2008,1h 38m,2000s,8.4,G,98
58,Dune: Part Two,659K,2024,2h 46m,2020s,8.5,PG-13,166
59,Raiders of the Lost Ark,1.1M,1981,1h 55m,1980s,8.4,PG,115
60,Avengers: Infinity War,1.3M,2018,2h 29m,2010s,8.4,PG-13,149
62,Sunset Boulevard,252K,1950,1h 50m,1950s,8.4,Approved,110
63,Spider-Man: Into the Spider-Verse,747K,2018,1h 57m,2010s,8.4,PG,117
64,Witness for the Prosecution,153K,1957,1h 56m,1950s,8.4,Approved,116
65,Paths of Glory,229K,1957,1h 28m,1950s,8.4,Approved,88
67,The Great Dictator,251K,1940,2h 5m,1940s,8.4,G,125
69,12th Fail,154K,2023,2h 27m,2020s,8.7,,147
71,The Dark Knight Rises,1.9M,2012,2h 44m,2010s,8.4,PG-13,164
72,Coco,665K,2017,1h 45m,2010s,8.4,PG,105
73,Amadeus,454K,1984,2h 40m,1980s,8.4,PG,160
74,Avengers: Endgame,1.4M,2019,3h 1m,2010s,8.4,PG-13,181
75,Toy Story,1.1M,1995,1h 21m,1990s,8.3,G,81
77,High and Low,63K,1963,2h 23m,1960s,8.4,Not Rated,143
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,542K,1964,1h 35m,1960s,8.3,PG,95
80,Das Boot,282K,1981,2h 29m,1980s,8.4,,149
82,Your Name.,367K,2016,1h 46m,2010s,8.4,,106
83,Princess Mononoke,467K,1997,2h 13m,1990s,8.3,PG-13,133
85,3 Idiots,466K,2009,2h 50m,2000s,8.4,PG-13,170
89,Singin' in the Rain,275K,1952,1h 43m,1950s,8.3,G,103
90,Come and See,115K,1985,2h 22m,1980s,8.3,Not Rated,142
91,Requiem for a Dream,949K,2000,1h 42m,2000s,8.3,NC-17,102
92,Star Wars: Episode VI - Return of the Jedi,1.2M,1983,2h 11m,1980s,8.3,PG,131
93,Toy Story 3,942K,2010,1h 43m,2010s,8.3,G,103
95,Ikiru,98K,1952,2h 23m,1950s,8.3,Not Rated,143
98,The Apartment,212K,1960,2h 5m,1960s,8.3,Approved,125
99,2001: A Space Odyssey,762K,1968,2h 29m,1960s,8.3,G,149
100,Lawrence of Arabia,333K,1962,3h 47m,1960s,8.3,PG,227
104,Double Indemnity,177K,1944,1h 47m,1940s,8.3,Approved,107
105,North by Northwest,363K,1959,2h 16m,1950s,8.3,Approved,136
106,Up,1.2M,2009,1h 36m,2000s,8.3,PG,96
107,M,179K,1931,1h 39m,1930s,8.3,Passed,99
108,Citizen Kane,485K,1941,1h 59m,1940s,8.2,PG,119
110,Vertigo,450K,1958,2h 8m,1950s,8.2,PG,128
112,Like Stars on Earth,223K,2007,2h 42m,2000s,8.3,PG,162
113,A Separation,272K,2011,2h 3m,2010s,8.3,PG-13,123
114,To Kill a Mockingbird,346K,1962,2h 9m,1960s,8.3,Approved,129
116,Indiana Jones and the Last Crusade,846K,1989,2h 7m,1980s,8.2,PG-13,127
117,The Sting,293K,1973,2h 9m,1970s,8.2,PG,129
119,Metropolis,196K,1927,2h 33m,1920s,8.3,Not Rated,153
124,The Chaos Class Failed the Class,28K,1975,1h 35m,1970s,8.6,,95
125,Bicycle Thieves,188K,1948,1h 29m,1940s,8.2,Not Rated,89
127,Dangal,231K,2016,2h 41m,2010s,8.3,Not Rated,161
129,Green Book,650K,2018,2h 10m,2010s,8.2,PG-13,130
130,Hamilton,131K,2020,2h 40m,2020s,8.3,PG-13,160
131,The Truman Show,1.3M,1998,1h 43m,1990s,8.2,PG,103
133,Batman Begins,1.7M,2005,2h 20m,2000s,8.2,PG-13,140
135,Judgment at Nuremberg,93K,1961,2h 59m,1960s,8.3,Approved,179
137,Some Like It Hot,298K,1959,2h 1m,1950s,8.2,Approved,121
138,Jurassic Park,1.1M,1993,2h 7m,1990s,8.2,PG-13,127
139,The Kid,143K,1921,1h 8m,1920s,8.2,Passed,68
140,The Father,218K,2020,1h 37m,2020s,8.2,PG-13,97
141,All About Eve,146K,1950,2h 18m,1950s,8.2,Approved,138
143,The Sixth Sense,1.1M,1999,1h 47m,1990s,8.2,PG-13,107
146,Top Gun: Maverick,799K,2022,2h 10m,2020s,8.2,PG-13,130
152,A Beautiful Mind,1M,2001,2h 15m,2000s,8.2,PG-13,135
154,The Treasure of the Sierra Madre,139K,1948,2h 6m,1940s,8.2,Approved,126
155,Yojimbo,140K,1961,1h 50m,1960s,8.2,Not Rated,110
156,Finding Nemo,1.2M,2003,1h 40m,2000s,8.2,G,100
157,Howl's Moving Castle,492K,2004,1h 59m,2000s,8.2,PG,119
159,The Great Escape,271K,1963,2h 52m,1960s,8.2,Approved,172
160,Monty Python and the Holy Grail,593K,1975,1h 31m,1970s,8.2,PG,91
161,The Elephant Man,276K,1980,2h 4m,1980s,8.2,PG,124
162,Klaus,219K,2019,1h 36m,2010s,8.2,PG,96
163,Dial M for Murder,200K,1954,1h 45m,1950s,8.2,PG,105
164,Gone with the Wind,350K,1939,3h 58m,1930s,8.2,G,238
168,Rashomon,192K,1950,1h 28m,1950s,8.1,Not Rated,88
170,Inside Out,881K,2015,1h 35m,2010s,8.1,PG,95
172,Catch Me If You Can,1.2M,2002,2h 21m,2000s,8.1,PG-13,141
174,The Bridge on the River Kwai,244K,1957,2h 41m,1950s,8.1,PG,161
176,The Wild Robot,193K,2024,1h 42m,2020s,8.2,PG,102
177,Harry Potter and the Deathly Hallows: Part 2,1M,2011,2h 10m,2010s,8.1,PG-13,130
179,Warrior,519K,2011,2h 20m,2010s,8.1,PG-13,140
180,Million Dollar Baby,752K,2004,2h 12m,2000s,8.1,PG-13,132
182,Ben-Hur,266K,1959,3h 32m,1950s,8.1,G,212
183,Dead Poets Society,606K,1989,2h 8m,1980s,8.1,PG,128
185,Barry Lyndon,197K,1975,3h 5m,1970s,8.1,PG,185
186,My Neighbor Totoro,415K,1988,1h 26m,1980s,8.1,G,86
187,Children of Heaven,87K,1997,1h 29m,1990s,8.2,PG,89
192,Spider-Man: No Way Home,972K,2021,2h 28m,2020s,8.2,PG-13,148
194,Memories of Murder,249K,2003,2h 12m,2000s,8.1,Not Rated,132
196,Ratatouille,902K,2007,1h 51m,2000s,8.1,G,111
197,How to Train Your Dragon,863K,2010,1h 38m,2010s,8.1,PG,98
198,"Monsters, Inc.",1M,2001,1h 32m,2000s,8.1,G,92
200,Jaws,711K,1975,2h 4m,1970s,8.1,PG,124
202,The Gold Rush,126K,1925,1h 35m,1920s,8.1,Approved,95
203,Ford v Ferrari,538K,2019,2h 32m,2010s,8.1,PG-13,152
204,Sherlock Jr.,63K,1924,45m,1920s,8.1,Passed,45
205,Mary and Max,198K,2009,1h 32m,2000s,8.1,Not Rated,92
207,The Wages of Fear,72K,1953,2h 36m,1950s,8.1,Not Rated,156
208,The General,104K,1926,1h 18m,1920s,8.1,Passed,78
209,Mr. Smith Goes to Washington,127K,1939,2h 9m,1930s,8.1,Approved,129
210,On the Waterfront,174K,1954,1h 48m,1950s,8.1,Approved,108
212,Rocky,668K,1976,2h,1970s,8.1,PG,120
213,Wild Strawberries,122K,1957,1h 32m,1950s,8.1,Not Rated,92
214,Tokyo Story,75K,1953,2h 17m,1950s,8.1,Not Rated,137
215,The Third Man,191K,1949,1h 44m,1940s,8.1,Approved,104
217,Pirates of the Caribbean: The Curse of the Black Pearl,1.3M,2003,2h 23m,2000s,8.1,PG-13,143
